Ticker,Name,Market Cap,Currency,Price,200-DMA,% Diff
A,"Agilent Technologies, Inc.",31566675968,USD,111.69999694824219,128.99621032714845,-13.408311248091065
ABBV,AbbVie Inc.,371715538944,USD,210.38999938964844,215.75564338684083,-2.486907833771934
ABT,Abbott Laboratories,147130957824,USD,84.47000122070312,117.33411193847657,-28.008999407610922
ACN,Accenture plc,103897767936,USD,168.82000732421875,233.2781085205078,-27.63144026033735
ADBE,Adobe Inc.,100079919104,USD,247.60000610351562,308.1684496307373,-19.654329831557316
ADP,"Automatic Data Processing, Inc.",85735006208,USD,214.47999572753906,249.30994506835938,-13.970541500568757
ADSK,"Autodesk, Inc.",49961189376,USD,236.6199951171875,277.4536498260498,-14.717288719922427
AIG,"American International Group, I",40353996800,USD,76.11000061035156,77.59817359924317,-1.9177938343978296
AJG,Arthur J. Gallagher & Co.,51375550464,USD,199.9499969482422,251.941247177124,-20.63625976747271
ALLE,Allegion plc,10797841408,USD,125.6500015258789,160.598351020813,-21.76133769294113
ALNY,"Alnylam Pharmaceuticals, Inc.",38315442176,USD,286.9800109863281,391.26339981079104,-26.652988466310102
AMCR,Amcor plc,16963463168,USD,36.689998626708984,41.93084850311279,-12.498792806481717
AMP,"Ameriprise Financial, Inc.",42285793280,USD,470.3800048828125,477.42175888061524,-1.4749545589026303
AMT,American Tower Corporation (REI,79495331840,USD,170.6300048828125,181.84277114868163,-6.166187522901945
AON,Aon plc,67750879232,USD,317.2200012207031,341.89236404418943,-7.216412361961211
AOS,A.O. Smith Corporation,7719780864,USD,56.0099983215332,68.44693180084228,-18.170184041990957
APH,Amphenol Corporation,153779306496,USD,125.0,132.1646078491211,-5.420973107490468
APP,Applovin Corporation,168305704960,USD,501.0,531.5964755249023,-5.755582840290863
APTV,Aptiv PLC,11499459584,USD,54.34000015258789,75.35210000991822,-27.885221320394006
ARE,Alexandria Real Estate Equities,7836898304,USD,44.970001220703125,57.91927724838257,-22.357454448451463
ARES,Ares Management Corporation,40706371584,USD,123.41000366210938,145.2550372314453,-15.039088478927354
AVY,Avery Dennison Corporation,11948563456,USD,156.2100067138672,173.13592948913575,-9.776089125585374
AWK,"American Water Works Company, I",24271417344,USD,124.29000091552734,132.52171043395995,-6.211593173282159
AXON,"Axon Enterprise, Inc.",31586342912,USD,391.8800048828125,583.9699504089356,-32.89380650350392
AXP,American Express Company,213895708672,USD,313.4800109863281,334.893056640625,-6.393995106705153
AZO,"AutoZone, Inc.",55024222208,USD,3321.14990234375,3753.5280908203126,-11.519247439069225
BAC,Bank of America Corporation,353197326336,USD,49.77000045776367,51.23803977966308,-2.86513560669448
BAX,Baxter International Inc.,8934913024,USD,17.299999237060547,20.154232053756715,-14.161952730737482
BBY,"Best Buy Co., Inc.",11857925120,USD,56.279998779296875,68.40534175872803,-17.725725312795536
BDX,"Becton, Dickinson and Company",39531782144,USD,143.47000122070312,153.2098422241211,-6.357190153077874
BF-B,Brown Forman Inc,12100600832,USD,26.3799991607666,27.495230550765992,-4.056090338796315
BKNG,Booking Holdings Inc. Common St,119432019968,USD,154.1300048828125,196.61244453430174,-21.607197729580953
BLDR,"Builders FirstSource, Inc.",7573291008,USD,70.41000366210938,110.50699977874756,-36.284575815938084
BR,"Broadridge Financial Solutions,",16842160128,USD,145.6199951171875,208.58001220703125,-30.18506731476802
BRK-B,Berkshire Hathaway Inc. New,1041113350144,USD,482.70001220703125,489.8519494628906,-1.4600201680734948
BRO,"Brown & Brown, Inc.",19075983360,USD,56.279998779296875,78.53982904434204,-28.342091567932627
BSX,Boston Scientific Corporation,78301192192,USD,52.68000030517578,87.45470012664795,-39.763099949017054
BX,Blackstone Inc.,144092463104,USD,117.88999938964844,142.291891708374,-17.149179778097988
BXP,"BXP, Inc.",10431218688,USD,58.5,64.1868790435791,-8.859877794834114
CAG,"ConAgra Brands, Inc.",6425411072,USD,13.430000305175781,16.726786308288574,-19.709619901577547
CBRE,CBRE Group Inc,38051512320,USD,129.9499969482422,154.1100503540039,-15.677143281871631
CCEP,Coca-Cola Europacific Partners ,39566557184,USD,89.36000061035156,92.38333190917969,-3.2725939153183004
CCI,Crown Castle Inc.,37822930944,USD,86.66000366210938,89.35629627227783,-3.017462364322454
CCL,Carnival Corporation Ltd.,34129838080,USD,24.639999389648438,28.570106391906737,-13.7560110849696
CDW,CDW Corporation,13039794176,USD,102.06999969482422,140.34664379119874,-27.272931551766032
CEG,Constellation Energy Corporatio,96509984768,USD,267.20001220703125,325.31067573547364,-17.863128345561908
CHTR,"Charter Communications, Inc.",19811561472,USD,140.3300018310547,226.11220039367674,-37.93789030988572
CLX,Clorox Company (The),10937335808,USD,90.44999694824219,108.80445713043213,-16.86921718674361
CMCSA,Comcast Corporation,88448385024,USD,24.760000228881836,28.151098747253418,-12.046060968410465
CMG,"Chipotle Mexican Grill, Inc.",41881264128,USD,32.650001525878906,37.120650091171264,-12.043562152904352
CMS,CMS Energy Corporation,22131001344,USD,71.63999938964844,72.49286922454834,-1.1764879001521122
COF,Capital One Financial Corporati,116474544128,USD,187.1699981689453,212.12563026428222,-11.764552951119246
COIN,"Coinbase Global, Inc.",51488137216,USD,195.42999267578125,254.42085029602052,-23.186329874930834
COO,"The Cooper Companies, Inc.",11630769152,USD,59.61000061035156,73.53480005264282,-18.936339572994875
COR,"Cencora, Inc.",50140327936,USD,257.7099914550781,326.4366136932373,-21.053588768919074
CPB,The Campbell's Company,5965911552,USD,20.010000228881836,27.04633409500122,-26.015850582204635
CPRT,"Copart, Inc.",31114860544,USD,32.29999923706055,40.18010007858276,-19.61194926371662
CPT,Camden Property Trust,10165703680,USD,102.58999633789062,103.63389938354493,-1.007298820042335
CRH,CRH PLC,68964941824,USD,103.20999908447266,115.53598487854003,-10.668525314451049
CRL,Charles River Laboratories Inte,7266102272,USD,150.85000610351562,176.09550071716308,-14.336251926274745
CRM,"Salesforce, Inc.",141940506624,USD,173.50999450683594,223.42997993469237,-22.34256362662156
CSGP,"CoStar Group, Inc.",13345064960,USD,32.68000030517578,63.552900066375734,-48.57827058868403
CTAS,Cintas Corporation,67347038208,USD,168.30999755859375,191.14616844177246,-11.946967637039052
CTSH,Cognizant Technology Solutions ,22292490240,USD,47.130001068115234,69.33722822189331,-32.02785534303507
CVNA,Carvana Co.,53332832256,USD,67.16999816894531,73.96028005599976,-9.18098455267221
DASH,"DoorDash, Inc.",69366415360,USD,159.1999969482422,213.02179969787596,-25.26586613481251
DECK,Deckers Outdoor Corporation,13280838656,USD,93.55999755859375,103.09620002746583,-9.249809853643043
DG,Dollar General Corporation,22546769920,USD,102.37999725341797,120.41356616973877,-14.976359798945005
DHI,"D.R. Horton, Inc.",38393843712,USD,135.38999938964844,153.29661445617677,-11.681024483190615
DHR,Danaher Corporation,114595143680,USD,161.91000366210938,206.6681455230713,-21.657010444294798
DIS,Walt Disney Company (The),178374459392,USD,102.72000122070312,108.48928043365478,-5.317833420860218
DLTR,"Dollar Tree, Inc.",17443502080,USD,89.58000183105469,110.2098999786377,-18.718734116972936
DPZ,Domino's Pizza Inc,10054730752,USD,302.2900085449219,403.08446578979493,-25.00579054749197
DUK,Duke Energy Corporation (Holdin,94292164608,USD,120.94999694824219,122.90659633636474,-1.5919400963377295
DXCM,"DexCom, Inc.",23781353472,USD,61.630001068115234,68.15725004196167,-9.576749311082644
ECL,Ecolab Inc.,69689556992,USD,247.6199951171875,271.2194379425049,-8.701235797974105
