Ticker,Name,Market Cap,Currency,Price,200-DMA,% Diff
1102.TW,ASIA CEMENT CORP (亞泥),122001776640,TWD,34.400001525878906,36.60574998855591,-6.025688487099934
1104.TW,UNIVERSAL CEMENT CORPORATION (環泥),18918082560,TWD,27.549999237060547,29.654499959945678,-7.096733128960797
1210.TW,GREAT WALL ENTERPRISE (大成),43843465216,TWD,52.400001525878906,52.91519937515259,-0.9736292319737605
1216.TW,UNI-PRESIDENT ENTERPRISES CORP (統一),406264086528,TWD,71.5,75.45084945678711,-5.236322036440266
1227.TW,STANDARD FOODS CORPORATION (佳格),25844549632,TWD,28.450000762939453,30.28224998474121,-6.050571614477129
1229.TW,LIEN HWA INDUSTRIAL HOLDINGS CO (聯華),69223546880,TWD,38.70000076293945,46.098678531646726,-16.049652624267928
1231.TW,LIAN HWA FOODS CORP (聯華食),25607393280,TWD,85.80000305175781,104.78770668029784,-18.12016335701533
1232.TW,TTET UNION CORP (大統益),23596314624,TWD,147.5,147.525,-0.01694628029147438
1234.TW,HEY SONG (黑松),13482772480,TWD,33.54999923706055,37.396999988555905,-10.28692342346339
1264.TWO,TEHMAG FOODS CORPORATION (德麥),10115195904,TWD,273.0,288.11,-5.244524660719874
1307.TW,SAN FANG CHEMICAL (三芳),12531266560,TWD,31.5,32.17799994468689,-2.107029479309941
1312.TW,GRAND PACIFIC PETROCHEMICAL (國喬),11698379776,TWD,10.399999618530273,11.492900009155273,-9.509352641669134
1313.TW,UPC TECHNOLOGY CO (聯成),14173510656,TWD,10.649999618530273,10.800499997138978,-1.3934575126019366
1314.TW,CHINA PETROCHEMICAL DEVELOPMENT (中石化),26796736512,TWD,7.079999923706055,7.78594997882843,-9.06697393435607
1319.TW,TONG YANG INDUSTRY (東陽),48264519680,TWD,81.5999984741211,94.04349979400635,-13.231644236062678
1402.TW,FAR EASTERN NEW CENTURY CORPORA (遠東新),144506585088,TWD,27.0,27.592249975204467,-2.146435958418347
1419.TW,SHINKONG TEXTILE CO. LTD. (新紡),18732234752,TWD,62.599998474121094,62.61250036239624,-0.019967080379779123
1434.TW,FORMOSA TAFFETA CO (福懋),25573572608,TWD,15.199999809265137,16.065749983787537,-5.388794020796139
1440.TW,TAINAN SPINNING (南紡),18804862976,TWD,11.350000381469727,13.256500029563904,-14.381621422263857
1476.TW,ECLAT TEXTILE CO (儒鴻),93970735104,TWD,342.5,395.0575,-13.303759579301744
1477.TW,MAKALOT INDUSTRIAL CO (聚陽),54025924608,TWD,219.0,269.5500791168213,-18.753501865942024
1504.TW,TECO ELECTRIC & MACHINERY CO (東元),169101967360,TWD,72.0999984741211,80.0472501373291,-9.928200718417813
1536.TW,HOTA INDUSTRIAL MFG CO (和大),14394310656,TWD,51.599998474121094,58.43925008773804,-11.703181685851206
1537.TW,KUNG LONG BATTERIE (廣隆),10298880000,TWD,125.5,125.64560325622558,-0.11588408384546334
1608.TW,HUA ENGINEERING WIRE & CABLE (華榮),14126181376,TWD,33.29999923706055,33.35449990272522,-0.16339823958873012
1609.TW,TA YA ELECTRONIC WIRE & CABLE (大亞),27794530304,TWD,35.5,38.318499937057496,-7.355454784731141
1707.TW,GRAPE KING BIO LTD (葡萄王),15258109952,TWD,103.0,122.5285507965088,-15.937959495612697
1712.TW,SINON CORP (興農),16777631744,TWD,39.900001525878906,41.687369956970215,-4.287553839295288
1722.TW,TAIWAN FERTILIZER CO (台肥),45128998912,TWD,46.04999923706055,47.917505798339846,-3.8973367460707897
1736.TW,JOHNSON HEALTH TECH (喬山),35952263168,TWD,118.5,144.91762062072755,-18.229405442604296
1789.TW,SCINOPHARM TAIWAN LTD (神隆),15300800512,TWD,19.350000381469727,19.615000009536743,-1.3510049856649275
1795.TW,LOTUS PHARMACEUTICAL CO (美時),52824772608,TWD,201.0,254.12217552185058,-20.904187292101504
1808.TW,RUN LONG CONSTRUCTION CO LTD (潤隆),25585358848,TWD,28.649999618530273,32.33984227180481,-11.409587660517118
1903.TW,SHIHLIN PAPER CORP (士紙),12468875264,TWD,47.95000076293945,53.18199987411499,-9.837913436049783
1905.TW,CHUNG HWA PULP (華紙),13344303104,TWD,12.100000381469727,12.401499996185303,-2.431154415258774
1907.TW,YFY INC (永豐餘),40596094976,TWD,24.450000762939453,25.416999988555908,-3.8045372233223795
1909.TW,LONGCHEN PAPER&PACKAGING CO LTD (榮成),11642505216,TWD,8.960000038146973,9.88854995727539,-9.390152480801772
2002.TW,CHINA STEEL CORP (中鋼),277332099072,TWD,18.149999618530273,19.217600049972535,-5.555326516662462
2009.TW,FIRST COPPER TECHNOLOGY (第一銅),14133151744,TWD,39.29999923706055,40.86575012207031,-3.8314502494942615
2015.TW,FENG HSIN STEEL CO LTD (豐興),35826524160,TWD,61.599998474121094,61.97777931213379,-0.6095423911691156
2023.TW,YIEH PHUI ENTERPRISE CO (燁輝),25224990720,TWD,13.699999809265137,14.756500020027161,-7.159558224024454
2031.TW,HSIN KUANG STEEL CO (新光鋼),12283834368,TWD,38.25,40.01224998474121,-4.404276153960973
2034.TW,YC INOX CO LTD (允強),10474112000,TWD,19.799999237060547,20.475249967575074,-3.297887603735561
2101.TW,NAN KANG RUBBER TIRE (南港),22198228992,TWD,30.700000762939453,36.37140085220337,-15.593020770109678
2105.TW,CHENG SHIN RUBBER INDUSTRIES (正新),103401152512,TWD,31.899999618530273,33.31274996757507,-4.240869788354007
2106.TW,KENDA RUBBER INDUSTRY (建大),15946663936,TWD,16.700000762939453,19.79699996948242,-15.643780427928833
2201.TW,YULON MOTOR CO (裕隆),28527454208,TWD,26.850000381469727,31.694975023269652,-15.286254802986488
2204.TW,CHINA MOTOR CO (中華),29397219328,TWD,53.099998474121094,57.75400005340576,-8.058319034146654
2206.TW,SANYANG MOTOR CO LTD (三陽工業),46477922304,TWD,60.099998474121094,60.84249984741211,-1.220366314916621
2207.TW,HOTAI MOTOR CO (和泰車),257381482496,TWD,462.0,547.44,-15.607189829022373
2208.TW,CSBC CORPORATION TAIWAN (台船),23642703872,TWD,18.549999237060547,20.851000022888183,-11.035445701893543
2211.TW,EVERGREEN STEEL CORP (長榮鋼),38372372480,TWD,92.0,100.4254999923706,-8.389801388104312
2227.TW,YULON NISSAN MOTOR CO.LTD (裕日車),14760000512,TWD,49.20000076293945,54.101977367401126,-9.060623738708918
2247.TW,PAN GERMAN UNIVERSAL MOTORS LTD (汎德永業),16706762752,TWD,207.0,269.57480117797854,-23.212407429975414
2258.TW,FOXTRON VEHICLE TECHS CO LTD (鴻華先進-創),53006950400,TWD,30.399999618530273,36.80924988746643,-17.412064327663757
2331.TW,ELITEGROUP COMPUTER SYSTEMS (精英),11621853184,TWD,20.850000381469727,21.78076880455017,-4.273349721640674
