Ticker,Name,Market Cap,Currency,Price,200-DMA,% Diff
1762.T,TAKAMATSU CONSTRUCTION GROUP CO,120471896064,JPY,3460.0,3598.3229357910154,-3.844094547912169
1663.T,K&O ENERGY GROUP INC,103606525952,JPY,3870.0,4081.8223962402344,-5.189407467491581
1662.T,JAPAN PETROLEUM EXPLORATION CO ,416767049728,JPY,1627.0,1757.9400787353516,-7.44849499247715
1773.T,YTL CORP,953188352000,JPY,82.0,82.89855228424072,-1.083917944863244
1835.T,TOTETSU KOGYO CO,145516429312,JPY,4220.0,4659.534489746094,-9.433012905330907
1861.T,KUMAGAI GUMI CO,235505696768,JPY,1385.0,1497.8159143066407,-7.532028016865122
1871.T,PS CONSTRUCTION CO LTD,105811951616,JPY,2248.0,2434.7832794189453,-7.671454005693712
1878.T,DAITO TRUST CONSTRUCTION CO,974664892416,JPY,3006.0,3178.5344091796874,-5.4281120469044986
1925.T,DAIWA HOUSE INDUSTRY CO,2702211284992,JPY,4366.0,5037.621484375,-13.332114897043045
1928.T,SEKISUI HOUSE,2126221279232,JPY,3283.0,3411.778421630859,-3.77452477026049
1934.T,YURTEC CORPORATION,166773096448,JPY,2425.0,2636.9117883300783,-8.036362432293542
2121.T,MIXI. INC,169146548224,JPY,2600.0,2765.672225341797,-5.990305858508682
2124.T,JAC RECRUITMENT CO LTD,134633725952,JPY,849.0,963.7424478149414,-11.905924458873097
2127.T,NIHON M&A CENTER HOLDINGS INC,206753071104,JPY,652.9000244140625,691.2081887817383,-5.54220349084612
2181.T,PERSOL HOLDINGS CO LTD,530900156416,JPY,238.10000610351562,254.90505493164062,-6.592669899242177
2201.T,MORINAGA & CO,210343510016,JPY,2505.5,2642.518038330078,-5.185131618502236
2206.T,EZAKI GLICO CO,328847065088,JPY,5317.0,5452.08015625,-2.47758933065485
2212.T,YAMAZAKI BAKING LTD,603119681536,JPY,3070.0,3258.0723681640625,-5.772504318866378
2229.T,CALBEE INC,337467080704,JPY,2782.0,2910.4280908203127,-4.4126873027848905
2281.T,PRIMA MEAT PACKERS,116608647168,JPY,2322.0,2535.863665771484,-8.433563233629936
2282.T,NH FOODS LTD,551527186432,JPY,5875.0,6355.6268701171875,-7.562226039055142
2296.T,ITOHAM YONEKYU HOLDINGS INC,267295195136,JPY,4705.0,5518.89712890625,-14.747459680727015
2317.T,SYSTENA CORPORATION,142267416576,JPY,397.0,463.132642364502,-14.27941723711481
2327.T,NS SOLUTIONS CORPORATION,571633893376,JPY,3124.0,3767.883225097656,-17.088725595548894
2331.T,ALSOK CO LTD,515234922496,JPY,1058.0,1165.3055041503906,-9.208358131683724
2337.T,ICHIGO INC,167776763904,JPY,424.0,430.7013836669922,-1.55592341262909
2432.T,DENA CO LTD,236491800576,JPY,2429.0,2485.4046154785156,-2.2694339234441308
2433.T,HAKUHODO DY HLDGS INC,392062992384,JPY,1103.0,1122.865439453125,-1.7691736476278197
2502.T,ASAHI GROUP HLDGS,2211854942208,JPY,1511.5,1662.037611694336,-9.057413059435692
2587.T,SUNTORY BEVERAGE & FOOD LIMITED,1347547430912,JPY,4346.0,4646.296608886719,-6.463139015110608
